"question_id","exam_type","question_type","original_question_id","question_text","passage_text","passage_group_id","passage_order","passage_total_questions","choice_a","choice_b","choice_c","choice_d","choice_e","choice_f","choice_g","choice_h","original_correct_choice","current_correct_choice","original_explanation","current_explanation","choice_a_explanation","choice_b_explanation","choice_c_explanation","choice_d_explanation","choice_e_explanation","choice_f_explanation","choice_g_explanation","choice_h_explanation","major_category","middle_category","minor_category","detail_category","related_terms","difficulty","target_mistake_type","source_year","syllabus_version","valid_from","valid_until","is_current","is_current_exam_scope","revision_note","validation_status","rule_reference_date","similar_question_blocked","created_at","updated_at"
"toeic_sample_030","toeic_reading","original",,"The restaurant attracted new customers through ------- photographs of its seasonal dishes online.",,,,,"post","posted","posting","poster",,,,,"c","c","正解はCの「posting」です。前置詞「through」の後ろには名詞または動名詞を置きます。「季節料理の写真をオンラインに掲載することを通じて」という手段を表すため、「through posting」が適切です。","正解はCの「posting」です。前置詞「through」の後ろには名詞または動名詞を置きます。「季節料理の写真をオンラインに掲載することを通じて」という手段を表すため、「through posting」が適切です。","Aの「post」は動詞の原形です。前置詞「through」の直後には置けないため、不正解です。","Bの「posted」は過去形または過去分詞です。この位置では前置詞の目的語となる動名詞が必要です。","Cの「posting」は動名詞です。「photographs」を目的語に取り、新規顧客を獲得した手段を自然に表すため、正解です。","Dの「poster」は「ポスター」または「投稿者」という名詞です。「photographs」を目的語に取れず、文意にも合いません。",,,,,"Reading","Part 5","短文穴埋め問題","動名詞・不定詞","through + 動名詞：～することを通じて;post photographs online：写真をオンラインに掲載する;seasonal dishes：季節料理;attract customers：顧客を引きつける","3",,"2026","N/A","2026-07-10",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)","not_applicable","2026-07-10","false","2026-07-10T13:05:00.000Z","2026-07-10T13:05:00.000Z"
"toeic_sample_031","toeic_reading","original",,"Why will the employee cafeteria be closed?","Read the e-mail.

To: All Employees
From: Naomi Clark, Office Manager
Subject: Temporary Closure of the Employee Cafeteria
Date: August 4

Dear Employees,

The employee cafeteria on the first floor will be closed from Monday, August 10, through Wednesday, August 12, while new kitchen equipment is being installed. The cafeteria will reopen at its regular time of 7:30 A.M. on Thursday, August 13.

During the closure, employees may purchase sandwiches, salads, and beverages from a temporary food counter in Conference Room B. The counter will be open from 11:30 A.M. to 1:30 P.M. each day. Please note that hot meals will not be available, and payment must be made by credit card or mobile payment.

Employees are also welcome to use the cafeteria seating area during the closure. However, part of the hallway near the cafeteria entrance will be blocked, so please enter through the door next to the employee lounge.

We apologize for the inconvenience and appreciate your cooperation.

Naomi Clark
Office Manager","toeic_group_001","1","3","It will be used for a company event.","Its cooking facilities will be upgraded.","The cafeteria staff will attend a training session.","The first floor will be cleaned.",,,,,"b","b","正解はB。本文には、新しい厨房設備(new kitchen equipment)を設置するために食堂が閉鎖されると書かれており、これはcooking facilitiesが新しくされること(upgraded)を言い換えた表現です。","正解はB。本文には、新しい厨房設備(new kitchen equipment)を設置するために食堂が閉鎖されると書かれており、これはcooking facilitiesが新しくされること(upgraded)を言い換えた表現です。","会社のイベントについては本文で触れられておらず、閉鎖の理由ではありません。","「new kitchen equipment is being installed」を「cooking facilities will be upgraded」と言い換えた表現であり、正解です。","食堂スタッフの研修については本文に記載がありません。","1階の清掃については本文で触れられておらず、閉鎖の理由ではありません。",,,,,"Reading","Part 7","読解問題","詳細情報の把握","kitchen equipment：厨房設備;install new equipment：新しい設備を設置する;upgrade facilities：設備を改良・更新する;temporary closure：一時的な閉鎖","2",,"2026","N/A","2026-07-10",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)","not_applicable","2026-07-10","false","2026-07-10T13:20:00.000Z","2026-07-10T13:20:00.000Z"
"toeic_sample_032","toeic_reading","original",,"What is indicated about the temporary food counter?","Read the e-mail.

To: All Employees
From: Naomi Clark, Office Manager
Subject: Temporary Closure of the Employee Cafeteria
Date: August 4

Dear Employees,

The employee cafeteria on the first floor will be closed from Monday, August 10, through Wednesday, August 12, while new kitchen equipment is being installed. The cafeteria will reopen at its regular time of 7:30 A.M. on Thursday, August 13.

During the closure, employees may purchase sandwiches, salads, and beverages from a temporary food counter in Conference Room B. The counter will be open from 11:30 A.M. to 1:30 P.M. each day. Please note that hot meals will not be available, and payment must be made by credit card or mobile payment.

Employees are also welcome to use the cafeteria seating area during the closure. However, part of the hallway near the cafeteria entrance will be blocked, so please enter through the door next to the employee lounge.

We apologize for the inconvenience and appreciate your cooperation.

Naomi Clark
Office Manager","toeic_group_001","2","3","It will serve breakfast.","It will accept cash payments.","It will offer a limited selection of food.","It will remain open until the cafeteria reopens.",,,,,"c","c","正解はC。臨時カウンターではサンドイッチ、サラダ、飲み物のみが提供され、温かい食事(hot meals)は提供されないと明記されているため、提供される食品の種類が限られていることが分かります。","正解はC。臨時カウンターではサンドイッチ、サラダ、飲み物のみが提供され、温かい食事(hot meals)は提供されないと明記されているため、提供される食品の種類が限られていることが分かります。","カウンターの営業時間は午前11時30分からであり、朝食の提供時間帯とは一致しません。","支払いはクレジットカードまたはモバイル決済のみと明記されており、現金払いには触れられていません。","sandwiches, salads, and beveragesのみが提供され、hot mealsは提供されないため、食品の種類が限られているという記述と一致します。","カウンターの営業時間は毎日午前11時30分から午後1時30分までと明記されており、食堂再開まで継続するとは書かれていません。",,,,,"Reading","Part 7","読解問題","推論","temporary food counter：臨時の食品販売カウンター;beverage：飲み物;hot meal：温かい食事;a limited selection of food：限られた種類の食べ物","3",,"2026","N/A","2026-07-10",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)","not_applicable","2026-07-10","false","2026-07-10T13:20:00.000Z","2026-07-10T13:20:00.000Z"
"toeic_sample_033","toeic_reading","original",,"What are employees instructed to do?","Read the e-mail.

To: All Employees
From: Naomi Clark, Office Manager
Subject: Temporary Closure of the Employee Cafeteria
Date: August 4

Dear Employees,

The employee cafeteria on the first floor will be closed from Monday, August 10, through Wednesday, August 12, while new kitchen equipment is being installed. The cafeteria will reopen at its regular time of 7:30 A.M. on Thursday, August 13.

During the closure, employees may purchase sandwiches, salads, and beverages from a temporary food counter in Conference Room B. The counter will be open from 11:30 A.M. to 1:30 P.M. each day. Please note that hot meals will not be available, and payment must be made by credit card or mobile payment.

Employees are also welcome to use the cafeteria seating area during the closure. However, part of the hallway near the cafeteria entrance will be blocked, so please enter through the door next to the employee lounge.

We apologize for the inconvenience and appreciate your cooperation.

Naomi Clark
Office Manager","toeic_group_001","3","3","Use a different entrance to the cafeteria area","Eat their meals in Conference Room B","Bring their own food on August 13","Avoid using the employee lounge",,,,,"a","a","正解はA。本文には「please enter through the door next to the employee lounge」とあり、通常の入口付近の廊下が一部通行できなくなるため、従業員は別の入口を利用するよう指示されています。","正解はA。本文には「please enter through the door next to the employee lounge」とあり、通常の入口付近の廊下が一部通行できなくなるため、従業員は別の入口を利用するよう指示されています。","「please enter through the door next to the employee lounge」という指示と一致します。","会議室Bは食事を購入する場所であり、そこで食事をするよう指示されているわけではありません。座席スペースは食堂内が利用可能です。","8月13日には食堂が再開するため、食事を持参するようには指示されていません。","従業員ラウンジの利用を避けるのではなく、その隣にあるドアから入るよう指示されています。",,,,,"Reading","Part 7","読解問題","詳細情報の把握","enter through the door：そのドアから入る;be blocked：通行できなくなる;hallway：廊下;seating area：座席スペース","2",,"2026","N/A","2026-07-10",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)","not_applicable","2026-07-10","false","2026-07-10T13:20:00.000Z","2026-07-10T13:20:00.000Z"
"toeic_sample_034","toeic_reading","original",,"Read the notice.

Riverside Community Center
Weekend Parking Information

Due to scheduled maintenance work, the main parking lot at Riverside Community Center will be unavailable on Saturday, September 19, from 8:00 A.M. to 5:00 P.M.

Visitors attending classes or events at the center may use the parking area behind Jefferson Library, located two blocks east of the community center. Parking there is free for up to four hours. Visitors staying longer than four hours must obtain a parking permit from the community center reception desk.

A free shuttle bus will operate between Jefferson Library and the community center every 20 minutes. The first shuttle will leave the library at 7:40 A.M., and the final shuttle will depart from the community center at 5:20 P.M.

The main parking lot is expected to reopen on Sunday morning. Please check the community center website before your visit in case the maintenance schedule changes.

We apologize for any inconvenience.

Why will the main parking lot be unavailable?","Read the notice.

Riverside Community Center
Weekend Parking Information

Due to scheduled maintenance work, the main parking lot at Riverside Community Center will be unavailable on Saturday, September 19, from 8:00 A.M. to 5:00 P.M.

Visitors attending classes or events at the center may use the parking area behind Jefferson Library, located two blocks east of the community center. Parking there is free for up to four hours. Visitors staying longer than four hours must obtain a parking permit from the community center reception desk.

A free shuttle bus will operate between Jefferson Library and the community center every 20 minutes. The first shuttle will leave the library at 7:40 A.M., and the final shuttle will depart from the community center at 5:20 P.M.

The main parking lot is expected to reopen on Sunday morning. Please check the community center website before your visit in case the maintenance schedule changes.

We apologize for any inconvenience.

","toeic_group_002","1","3","A special event will take place there.","Repair work will be performed.","A new building will be constructed.","The parking fee system will be replaced.",,,,,"b","b","正解はB。冒頭に「Due to scheduled maintenance work」とあり、これは「予定されているメンテナンス作業のため」という意味です。「maintenance work」を「repair work」と言い換えた表現が正解です。","正解はB。冒頭に「Due to scheduled maintenance work」とあり、これは「予定されているメンテナンス作業のため」という意味です。「maintenance work」を「repair work」と言い換えた表現が正解です。","特別なイベントについては本文で触れられておらず、駐車場が使えなくなる理由ではありません。","「maintenance work」を「repair work」と言い換えた表現であり、正解です。","新しい建物の建設については本文に記載がありません。","駐車料金システムの交換については本文で一切触れられていません。",,,,,"Reading","Part 7","読解問題","詳細情報の把握","scheduled maintenance：予定されているメンテナンス;main parking lot：メイン駐車場;be unavailable：利用できない","2",,"2026","N/A","2026-07-11",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)。1つの文書に対し設問を1つずつ登録しています。","not_applicable","2026-07-11","false","2026-07-11T09:00:00.000Z","2026-07-11T09:00:00.000Z"
"toeic_sample_035","toeic_reading","original",,"Read the notice.

Riverside Community Center
Weekend Parking Information

Due to scheduled maintenance work, the main parking lot at Riverside Community Center will be unavailable on Saturday, September 19, from 8:00 A.M. to 5:00 P.M.

Visitors attending classes or events at the center may use the parking area behind Jefferson Library, located two blocks east of the community center. Parking there is free for up to four hours. Visitors staying longer than four hours must obtain a parking permit from the community center reception desk.

A free shuttle bus will operate between Jefferson Library and the community center every 20 minutes. The first shuttle will leave the library at 7:40 A.M., and the final shuttle will depart from the community center at 5:20 P.M.

The main parking lot is expected to reopen on Sunday morning. Please check the community center website before your visit in case the maintenance schedule changes.

We apologize for any inconvenience.

What must some visitors do?","Read the notice.

Riverside Community Center
Weekend Parking Information

Due to scheduled maintenance work, the main parking lot at Riverside Community Center will be unavailable on Saturday, September 19, from 8:00 A.M. to 5:00 P.M.

Visitors attending classes or events at the center may use the parking area behind Jefferson Library, located two blocks east of the community center. Parking there is free for up to four hours. Visitors staying longer than four hours must obtain a parking permit from the community center reception desk.

A free shuttle bus will operate between Jefferson Library and the community center every 20 minutes. The first shuttle will leave the library at 7:40 A.M., and the final shuttle will depart from the community center at 5:20 P.M.

The main parking lot is expected to reopen on Sunday morning. Please check the community center website before your visit in case the maintenance schedule changes.

We apologize for any inconvenience.

","toeic_group_002","2","3","Pay for a shuttle bus ticket","Reserve a parking space online","Get permission to park for an extended period","Arrive before 7:40 A.M.",,,,,"c","c","正解はC。本文には「Visitors staying longer than four hours must obtain a parking permit」とあり、4時間を超えて駐車する来訪者は駐車許可証を取得しなければならないと明記されています。「obtain a parking permit」を「get permission to park for an extended period」と言い換えた表現です。","正解はC。本文には「Visitors staying longer than four hours must obtain a parking permit」とあり、4時間を超えて駐車する来訪者は駐車許可証を取得しなければならないと明記されています。「obtain a parking permit」を「get permission to park for an extended period」と言い換えた表現です。","シャトルバスは無料(free shuttle bus)と明記されており、乗車券の購入は必要ありません。","オンラインでの駐車スペース予約については本文に記載がありません。","4時間を超えて駐車する来訪者に限り、駐車許可証の取得が義務付けられているため、正解です。","午前7時40分は最初のシャトルバスの出発時刻であり、それより前に到着する必要があるとは書かれていません。",,,,,"Reading","Part 7","読解問題","情報照合","obtain a parking permit：駐車許可証を取得する;longer than four hours：4時間を超えて;free shuttle bus：無料のシャトルバス","3",,"2026","N/A","2026-07-11",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)。1つの文書に対し設問を1つずつ登録しています。","not_applicable","2026-07-11","false","2026-07-11T09:00:00.000Z","2026-07-11T09:00:00.000Z"
"toeic_sample_036","toeic_reading","original",,"Read the notice.

Riverside Community Center
Weekend Parking Information

Due to scheduled maintenance work, the main parking lot at Riverside Community Center will be unavailable on Saturday, September 19, from 8:00 A.M. to 5:00 P.M.

Visitors attending classes or events at the center may use the parking area behind Jefferson Library, located two blocks east of the community center. Parking there is free for up to four hours. Visitors staying longer than four hours must obtain a parking permit from the community center reception desk.

A free shuttle bus will operate between Jefferson Library and the community center every 20 minutes. The first shuttle will leave the library at 7:40 A.M., and the final shuttle will depart from the community center at 5:20 P.M.

The main parking lot is expected to reopen on Sunday morning. Please check the community center website before your visit in case the maintenance schedule changes.

We apologize for any inconvenience.

What are visitors advised to do before going to the community center?","Read the notice.

Riverside Community Center
Weekend Parking Information

Due to scheduled maintenance work, the main parking lot at Riverside Community Center will be unavailable on Saturday, September 19, from 8:00 A.M. to 5:00 P.M.

Visitors attending classes or events at the center may use the parking area behind Jefferson Library, located two blocks east of the community center. Parking there is free for up to four hours. Visitors staying longer than four hours must obtain a parking permit from the community center reception desk.

A free shuttle bus will operate between Jefferson Library and the community center every 20 minutes. The first shuttle will leave the library at 7:40 A.M., and the final shuttle will depart from the community center at 5:20 P.M.

The main parking lot is expected to reopen on Sunday morning. Please check the community center website before your visit in case the maintenance schedule changes.

We apologize for any inconvenience.

","toeic_group_002","3","3","Contact Jefferson Library","Confirm the latest information online","Purchase a parking permit","Register for the shuttle service",,,,,"b","b","正解はB。本文には「Please check the community center website before your visit in case the maintenance schedule changes」とあり、メンテナンスの予定が変更される可能性があるため、訪問前にウェブサイトで最新情報を確認するよう勧められています。","正解はB。本文には「Please check the community center website before your visit in case the maintenance schedule changes」とあり、メンテナンスの予定が変更される可能性があるため、訪問前にウェブサイトで最新情報を確認するよう勧められています。","ジェファーソン図書館への連絡については、訪問前の指示として本文に記載がありません。","「check the community center website」を「confirm the latest information online」と言い換えた表現であり、正解です。","駐車許可証は4時間を超えて駐車する場合に受付で取得するものであり、訪問前の一般的な指示ではありません。","シャトルサービスへの事前登録については本文に記載がありません。",,,,,"Reading","Part 7","読解問題","推論","check the website：ウェブサイトを確認する;in case：～の場合に備えて;maintenance schedule：メンテナンスの予定","2",,"2026","N/A","2026-07-11",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)。1つの文書に対し設問を1つずつ登録しています。","not_applicable","2026-07-11","false","2026-07-11T09:00:00.000Z","2026-07-11T09:00:00.000Z"
"toeic_sample_037","toeic_reading","original",,"Read the e-mail.

To: Regional Store Managers
From: Elena Morris, Director of Retail Operations
Subject: Revised Product Display Guidelines
Date: March 6

Dear Store Managers,

Following a review of last quarter's sales figures, we have decided to revise the display guidelines for our recently launched line of kitchen appliances. Although overall sales were in line with expectations, stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section.

Beginning March 15, all stores are therefore asked to relocate the new appliances to a more prominent area. Ideally, the products should be positioned within ten meters of the main entrance. However, stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic.

To support the change, updated promotional materials will be delivered to each store by March 12. The shipment will include display signs, product information cards, and replacement price labels. Please discard the previous promotional materials only after the new shipment has arrived and its contents have been checked.

Store managers should submit photographs of the completed display through the retail operations portal no later than March 18. The photographs will be reviewed not only to confirm compliance with the new guidelines but also to identify display arrangements that may be adopted by other locations.

We recognize that some stores are currently preparing for seasonal sales events. If relocating the appliances by March 15 would significantly disrupt those preparations, managers may request a short extension by contacting their regional supervisor. Such requests must include a proposed completion date.

Thank you for your cooperation.

Elena Morris
Director of Retail Operations

Why are the product display guidelines being revised?","Read the e-mail.

To: Regional Store Managers
From: Elena Morris, Director of Retail Operations
Subject: Revised Product Display Guidelines
Date: March 6

Dear Store Managers,

Following a review of last quarter's sales figures, we have decided to revise the display guidelines for our recently launched line of kitchen appliances. Although overall sales were in line with expectations, stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section.

Beginning March 15, all stores are therefore asked to relocate the new appliances to a more prominent area. Ideally, the products should be positioned within ten meters of the main entrance. However, stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic.

To support the change, updated promotional materials will be delivered to each store by March 12. The shipment will include display signs, product information cards, and replacement price labels. Please discard the previous promotional materials only after the new shipment has arrived and its contents have been checked.

Store managers should submit photographs of the completed display through the retail operations portal no later than March 18. The photographs will be reviewed not only to confirm compliance with the new guidelines but also to identify display arrangements that may be adopted by other locations.

We recognize that some stores are currently preparing for seasonal sales events. If relocating the appliances by March 15 would significantly disrupt those preparations, managers may request a short extension by contacting their regional supervisor. Such requests must include a proposed completion date.

Thank you for your cooperation.

Elena Morris
Director of Retail Operations

","toeic_group_003","1","4","Customers have complained that the products are difficult to locate.","The company plans to reduce the amount of floor space used for appliances.","Sales results differed depending on where the products were displayed.","Several stores failed to follow the original promotional plan.",,,,,"c","c","正解はC。本文には「stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section」とあり、商品を陳列した場所によって売上実績に差があったことがガイドライン改訂の理由です。","正解はC。本文には「stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section」とあり、商品を陳列した場所によって売上実績に差があったことがガイドライン改訂の理由です。","顧客からの苦情については本文に記載がありません。","売場面積を減らすことが目的ではなく、より目立つ場所へ移動することが目的です。","入口付近に陳列した店舗と家庭用品売場に陳列した店舗とで売上に差があったことが、本文全体の要約として正しく表現されています。","当初の販促計画に従わなかった店舗があったとは書かれていません。",,,,,"Reading","Part 7","読解問題","主旨把握","sales figures：売上実績;be in line with expectations：予想どおりである;revise guidelines：ガイドラインを改訂する","5",,"2026","N/A","2026-07-11",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)。1つの文書に対し設問を1つずつ登録しています。","not_applicable","2026-07-11","false","2026-07-11T09:30:00.000Z","2026-07-11T09:30:00.000Z"
"toeic_sample_038","toeic_reading","original",,"Read the e-mail.

To: Regional Store Managers
From: Elena Morris, Director of Retail Operations
Subject: Revised Product Display Guidelines
Date: March 6

Dear Store Managers,

Following a review of last quarter's sales figures, we have decided to revise the display guidelines for our recently launched line of kitchen appliances. Although overall sales were in line with expectations, stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section.

Beginning March 15, all stores are therefore asked to relocate the new appliances to a more prominent area. Ideally, the products should be positioned within ten meters of the main entrance. However, stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic.

To support the change, updated promotional materials will be delivered to each store by March 12. The shipment will include display signs, product information cards, and replacement price labels. Please discard the previous promotional materials only after the new shipment has arrived and its contents have been checked.

Store managers should submit photographs of the completed display through the retail operations portal no later than March 18. The photographs will be reviewed not only to confirm compliance with the new guidelines but also to identify display arrangements that may be adopted by other locations.

We recognize that some stores are currently preparing for seasonal sales events. If relocating the appliances by March 15 would significantly disrupt those preparations, managers may request a short extension by contacting their regional supervisor. Such requests must include a proposed completion date.

Thank you for your cooperation.

Elena Morris
Director of Retail Operations

What is indicated about stores with limited space?","Read the e-mail.

To: Regional Store Managers
From: Elena Morris, Director of Retail Operations
Subject: Revised Product Display Guidelines
Date: March 6

Dear Store Managers,

Following a review of last quarter's sales figures, we have decided to revise the display guidelines for our recently launched line of kitchen appliances. Although overall sales were in line with expectations, stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section.

Beginning March 15, all stores are therefore asked to relocate the new appliances to a more prominent area. Ideally, the products should be positioned within ten meters of the main entrance. However, stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic.

To support the change, updated promotional materials will be delivered to each store by March 12. The shipment will include display signs, product information cards, and replacement price labels. Please discard the previous promotional materials only after the new shipment has arrived and its contents have been checked.

Store managers should submit photographs of the completed display through the retail operations portal no later than March 18. The photographs will be reviewed not only to confirm compliance with the new guidelines but also to identify display arrangements that may be adopted by other locations.

We recognize that some stores are currently preparing for seasonal sales events. If relocating the appliances by March 15 would significantly disrupt those preparations, managers may request a short extension by contacting their regional supervisor. Such requests must include a proposed completion date.

Thank you for your cooperation.

Elena Morris
Director of Retail Operations

","toeic_group_003","2","4","They may display the products in an alternative location.","They are not required to use promotional signs.","They must obtain approval before moving the products.","They may continue using the previous display arrangement.",,,,,"a","a","正解はA。本文には「stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic」とあり、売場面積に余裕がない店舗はレジ付近という代わりの場所に陳列できると書かれています。","正解はA。本文には「stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic」とあり、売場面積に余裕がない店舗はレジ付近という代わりの場所に陳列できると書かれています。","「near the checkout counters」という代わりの場所(an alternative location)に陳列できると明記されており、正解です。","販促用看板が不要とは書かれていません。","商品の移動前に承認が必要とは書かれていません。","以前の陳列方法を継続してよいのではなく、レジ付近など別の目立つ場所へ移動する必要があります。",,,,,"Reading","Part 7","読解問題","詳細情報の把握","limited floor space：限られた売場面積;checkout counter：レジ;interfere with：～を妨げる","5",,"2026","N/A","2026-07-11",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)。1つの文書に対し設問を1つずつ登録しています。","not_applicable","2026-07-11","false","2026-07-11T09:30:00.000Z","2026-07-11T09:30:00.000Z"
"toeic_sample_039","toeic_reading","original",,"Read the e-mail.

To: Regional Store Managers
From: Elena Morris, Director of Retail Operations
Subject: Revised Product Display Guidelines
Date: March 6

Dear Store Managers,

Following a review of last quarter's sales figures, we have decided to revise the display guidelines for our recently launched line of kitchen appliances. Although overall sales were in line with expectations, stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section.

Beginning March 15, all stores are therefore asked to relocate the new appliances to a more prominent area. Ideally, the products should be positioned within ten meters of the main entrance. However, stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic.

To support the change, updated promotional materials will be delivered to each store by March 12. The shipment will include display signs, product information cards, and replacement price labels. Please discard the previous promotional materials only after the new shipment has arrived and its contents have been checked.

Store managers should submit photographs of the completed display through the retail operations portal no later than March 18. The photographs will be reviewed not only to confirm compliance with the new guidelines but also to identify display arrangements that may be adopted by other locations.

We recognize that some stores are currently preparing for seasonal sales events. If relocating the appliances by March 15 would significantly disrupt those preparations, managers may request a short extension by contacting their regional supervisor. Such requests must include a proposed completion date.

Thank you for your cooperation.

Elena Morris
Director of Retail Operations

Why are store managers asked to submit photographs?","Read the e-mail.

To: Regional Store Managers
From: Elena Morris, Director of Retail Operations
Subject: Revised Product Display Guidelines
Date: March 6

Dear Store Managers,

Following a review of last quarter's sales figures, we have decided to revise the display guidelines for our recently launched line of kitchen appliances. Although overall sales were in line with expectations, stores that placed the products near the front entrance reported significantly higher sales than those that displayed them in the household goods section.

Beginning March 15, all stores are therefore asked to relocate the new appliances to a more prominent area. Ideally, the products should be positioned within ten meters of the main entrance. However, stores with limited floor space may instead place them near the checkout counters, provided that the display does not interfere with customer traffic.

To support the change, updated promotional materials will be delivered to each store by March 12. The shipment will include display signs, product information cards, and replacement price labels. Please discard the previous promotional materials only after the new shipment has arrived and its contents have been checked.

Store managers should submit photographs of the completed display through the retail operations portal no later than March 18. The photographs will be reviewed not only to confirm compliance with the new guidelines but also to identify display arrangements that may be adopted by other locations.

We recognize that some stores are currently preparing for seasonal sales events. If relocating the appliances by March 15 would significantly disrupt those preparations, managers may request a short extension by contacting their regional supervisor. Such requests must include a proposed completion date.

Thank you for your cooperation.

Elena Morris
Director of Retail Operations

","toeic_group_003","3","4","To request additional promotional materials","To help evaluate and share effective display methods","To document damage caused during product relocation","To confirm that all price labels have been replaced",,,,,"b","b","正解はB。本文には写真確認の目的として「to confirm compliance with the new guidelines」と「to identify display arrangements that may be adopted by other locations」の2つが挙げられています。これらをまとめると、効果的な陳列方法を評価し、他店舗と共有するためという意味になります。","正解はB。本文には写真確認の目的として「to confirm compliance with the new guidelines」と「to identify display arrangements that may be adopted by other locations」の2つが挙げられています。これらをまとめると、効果的な陳列方法を評価し、他店舗と共有するためという意味になります。","追加の販促資料を申請するためとは書かれていません。","ガイドライン順守の確認と、他店舗で採用できる陳列方法の発見という2つの目的をまとめて言い換えた表現であり、正解です。","商品移動中の損傷については本文に記載がありません。","価格ラベルの交換確認だけが写真提出の目的ではありません。",,,,,"Reading","Part 7","読解問題","情報照合","compliance with：～への適合、順守;identify：見つける、特定する;adopt：採用する","5",,"2026","N/A","2026-07-11",,"true","true","AIで作成したTOEIC形式のオリジナル類題(公式過去問ではない)。1つの文書に対し設問を1つずつ登録しています。","not_applicable","2026-07-11","false","2026-07-11T09:30:00.000Z","2026-07-11T09:30:00.000Z"
